"CitationID","Paper","Authors","Year","Venue","ResearchFamily","Problem","DecisionTiming","HistoricalEvidence","EvidenceSignal","DecisionTarget","ModelSelection","SystemComposition","HeterogeneousMechanisms","RuntimeRouting","DesignTimeSelection","HumanDeferral","ThresholdCalibration","Domain","ClosestADSComponent","OverlapType","OverlapStrength","KeyDifference","PotentialChallengeToContribution","EvidenceLocation","DOI_or_URL"
"G1-04","Maximum Likelihood Estimation of Observer Error-Rates Using the EM Algorithm","Dawid, Skene","1979","Journal of the Royal Statistical Society, Series C","GAP1-ADS-METRIC","Latent-class model for aggregating repeated noisy categorical ratings per item","Design-time (fit once from historical repeated ratings)","Yes (repeated multi-rater judgments per item -- closest data-shape match to ADS found anywhere)","Per-item repeated categorical label distribution","Estimated true label per item (posterior)","No","No","No","No","Yes (EM-fit model)","No","N/A (model-fitting paper)","General (crowdsourcing / truth inference)","ADS metric itself","Strong conceptual overlap","High","Dawid-Skene's own output is a corrected posterior, not raw max/sum -- but the mathematically-identical quantity (raw majority-vote-of-repeated-labels) is the universal naive baseline this entire literature benchmarks against, used informally, never independently named/cited as a metric in its own right.","Strongest evidence that ADS's exact quantity is a known baseline in the repeated-labeling literature -- just diffusely/informally named rather than anchored to one canonical citation the way ADS's paper could imply.","Full paper (2069 citations per Consensus)","(no DOI independently resolved)"
"G1-05","Learning from Disagreement: A Survey","Uma, Fornaciari, Hovy, et al.","2021","Journal of Artificial Intelligence Research (JAIR)","GAP1-ADS-METRIC","Survey of how per-item multi-annotator label distributions should be represented/used","N/A (survey)","Yes (annotation repetition, same shape as ADS's booking-history repetition)","Full per-item label distribution (soft labels), entropy, majority/aggregated hard labels","N/A (survey)","No","No","No","No","No","No","N/A","General (NLP/ML annotation)","ADS metric itself","Partial overlap","Medium","Same conceptual territory (how peaked is an item's label distribution) but the survey argues AGAINST collapsing to a point estimate -- the opposite design philosophy from ADS's deliberate max/sum collapse.","Useful citation for justifying, not undermining, ADS's design choice to collapse to a scalar -- shows the field has explicitly debated this exact tradeoff.","Full survey (134 citations)","10.1613/jair.1.12752"
"G1-06","Dealing with Disagreements: Looking Beyond the Majority Vote in Subjective Annotations","Davani, Diaz, Prabhakaran","2021","arXiv preprint","GAP1-ADS-METRIC","Critiques majority-vote label aggregation, proposes multi-annotator modeling instead","N/A","Yes (annotation repetition)","Majority-vote-of-repeated-labels (critiqued as the default baseline)","N/A","No","No","No","No","No","No","N/A","NLP subjective annotation","ADS metric itself","Partial overlap","Medium","Independently confirms (alongside G1-04) that majority-vote proportion is the default baseline this literature tries to beat, with no distinct canonical name of its own.","Reinforces the 'known but uncited baseline' finding from a second independent source.","Full paper","10.48550/arxiv.2110.05719"
"G1-07","Confident Learning: Estimating Uncertainty in Dataset Labels","Northcutt, Jiang, Chuang","2021","Journal of Artificial Intelligence Research (JAIR)","GAP1-ADS-METRIC","Detects likely label errors via model-predicted-probability confusion structure","Runtime/design-time (uses a trained model's out-of-sample predictions)","No (single given label + model confidence, not repeated historical labels)","Model-predicted class-probability confusion joint","Flagged/pruned likely-mislabeled examples","No","No","No","Yes","No","No","Learned (confident-joint thresholds)","General (dataset quality / label-error detection)","None","Distant analogy","Low","Different input (model confidence vs. repeated empirical labels) and different mechanism (probabilistic confusion-matrix estimation vs. simple counting); goal (flag ambiguous items) is convergent but construction is Distinct.","Minimal -- confirms convergent GOAL but not mathematical equivalence; worth citing as a contrast, not a match.","Full paper (61 citations)","10.1613/jair.1.12125"
"G1-08","A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks (MSP)","Hendrycks, Gimpel","2017","ICLR 2017 / arXiv","GAP1-ADS-METRIC","Confidence baseline using max softmax probability for OOD/misclassification detection","Runtime (per inference)","No (live model output, not historical labels)","Max of a model's live softmax output","OOD/misclassification flag","No","No","No","Yes","No","No","N/A (fixed formula on model output)","General (any classifier)","None","Distant analogy","Low","Same OPERATOR (max of a probability-like distribution) as ADS but applied to a model's live predictive distribution, not an empirical historical frequency distribution -- structurally analogous, mathematically Distinct input.","Minimal direct challenge; valuable as a precise contrast citation (same operator, different data) rather than a competing claim.","Full paper (1629 citations)","10.48550/arxiv.1610.02136"
"G1-09","Measuring Nominal Scale Agreement Among Many Raters","Joseph L. Fleiss","1971","Psychological Bulletin, 76(5):378-382","GAP1-ADS-METRIC","Chance-corrected inter-rater agreement statistic (Fleiss' kappa) and its per-item pairwise-agreement term","N/A","Yes (repeated multi-rater judgments per item)","Per-item pairwise rating-agreement fraction (kappa); informally, 'percent agreement with the majority label' also circulates in this lineage","N/A","No","No","No","No","No","No","N/A","General (inter-rater reliability methodology)","ADS metric itself","Strong conceptual overlap","Medium-High","Fleiss's own per-item term P_i is a PAIRWISE-agreement fraction (Analogous, not equivalent, to ADS's max/sum). But the informal 'percent agreement with the majority label' construct that circulates in this same literature IS mathematically equivalent to ADS -- and, like G1-04, has no dedicated citation of its own distinct from kappa.","Most important 'near miss' in the gap pass: confirms the raw majority-agreement-proportion genuinely lacks its own canonical citation lineage, exactly as suspected before this search was run.","Full paper (canonical IRR citation)","(no DOI independently resolved)"
"G2-01","Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents (RankGPT)","Sun, Yan, Ma, et al.","2023","EMNLP 2023","GAP2-LLM-ADVISORY","LLM reranks a fixed candidate list from a first-stage retriever","Runtime","No (uses retrieval output, not historical labels)","Candidate list from a retriever","Ranking/order of pre-supplied candidates only","No","Yes (retriever + LLM reranker pipeline)","No (both stages are ML/IR components, not rules+ML+human)","Yes","No","No","Not applicable (reordering task, no threshold)","IR / web & passage search","Part 2 (Tier-3 mechanism, candidates-only half)","Strong conceptual overlap","High","Matches ADS-Cascade's 'reranks already-retrieved candidates only, never blank-slate' constraint exactly and is its direct methodological ancestor. Does NOT match 'never auto-applied, always human-routed' -- RankGPT's output is auto-applied directly as the final ranking.","Establishes the reranking-only half of ADS-Cascade's Tier-3 constraint as commodity IR technique since 2023 (590 citations) -- no defensible novelty claim available for that half in isolation.","Abstract; methodology","10.18653/v1/2023.emnlp-main.923"
"G2-02","Zero-Shot Listwise Document Reranking with a Large Language Model","Ma, Zhang, Pradeep, Lin","2023","arXiv preprint","GAP2-LLM-ADVISORY","LLM reranks a fixed candidate document set from a retriever","Runtime","No","Candidate document list","Reordered candidate list","No","Yes","No","Yes","No","No","N/A","IR / web search","Part 2 (Tier-3, candidates-only half)","Strong conceptual overlap","Medium","Same candidates-only pattern as G2-01; no human-gating.","Reinforces that 'LLM sees only pre-filtered candidates' is baseline IR design, not a novel restriction.","Abstract","10.48550/arxiv.2305.02156"
"G2-03","Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting","Qin, Jagerman, Hui, et al.","2024","Findings of ACL: NAACL 2024","GAP2-LLM-ADVISORY","LLM performs pairwise comparisons over retrieved candidates to rank them","Runtime","No","Candidate pairs from retrieval","Reordered candidate list","No","Yes","No","Yes","No","No","N/A","IR / web search","Part 2 (Tier-3, candidates-only half)","Strong conceptual overlap","Medium","Same candidates-only pattern; one of many LLM-reranker variants (RankZephyr, RankVicuna, FIRST, ListT5, PE-Rank, REARANK also identified).","Confirms LLM-as-reranker is commodity technique by 2023-2025 across many independent implementations.","Abstract","10.18653/v1/2024.findings-naacl.97"
"G2-04","Fine-Tuning LLaMA for Multi-Stage Text Retrieval (RankLLaMA)","Ma, Wang, Yang, et al.","2024","SIGIR 2024","GAP2-LLM-ADVISORY","Trained LLM reranker (RankLLaMA) scoring only retriever-passed candidates","Runtime","No","Candidates from RepLLaMA retriever","Pointwise relevance score / reordering","No","Yes (retriever + reranker)","No","Yes","No","No","Learned (fine-tuned)","IR / passage retrieval","Part 2 (Tier-3, candidates-only half)","Strong conceptual overlap","Medium","Confirms the retrieve-then-LLM-rerank pipeline is the dominant IR paradigm.","Same as G2-01/02/03 -- weakens any claim that candidates-only LLM use is itself novel.","Abstract","10.1145/3626772.3657951"
"G2-05","Architecting Human-AI Systems for Effective Collaboration and Oversight","Singh, Szajnfarber","2025","Systems Engineering, 29(2):337-353","GAP2-LLM-ADVISORY","Formal taxonomy of human-AI decision-authority architectures","N/A (taxonomy)","No","N/A","Authority split: 'human approver' vs. 'human selector' architectures","No","No","No","No","No","No","No","General human-machine systems","Part 2 / human-feedback loop (authority-split framing)","Strong conceptual overlap","Medium","'Human selector from a filtered list' is structurally identical to ADS-Cascade routing reranked candidates to a human -- but not LLM- or reranking-specific, and this 2025 paper's own motivation (cleaning up inconsistent terminology) shows the field lacks one settled name for ADS-Cascade's exact configuration.","Provides citable general vocabulary for the 'AI proposes, human decides' half of Tier 3, without anticipating the specific combination.","Taxonomy sections","10.1002/sys.70024"
"G2-06","Human at the Center: A Framework for Human-Driven AI Development","Hu, Navas, Gaube, Mozannar, Taylor, Dvijotham, Bondi-Kelly","2025","AI Magazine, 46(4)","GAP2-LLM-ADVISORY","Four human-AI design modes, incl. 'AI Supports Human Decisions' (advisory-only)","N/A (framework)","No","N/A","Design mode: AI recommends, human always decides","No","No","No","No","No","Yes","No","General (healthcare, hiring, criminal justice examples)","Part 2 / human-feedback loop","Strong conceptual overlap","Medium","Named, citable formalization of 'AI recommends, human decides, always' -- precisely ADS-Cascade's stated authority split for Tier 3 -- but a general design mode, not LLM-reranking-of-candidates specific.","Co-authored by a lead learning-to-defer author; shows L2D and decision-support literatures already converge on this exact authority-split terminology.","Mode 1 definition","10.1002/aaai.70043"
"G2-07","Algorithmic Decision-Making Safeguarded by Human Knowledge","Chen, Hu, Li","2026","Naval Research Logistics","GAP2-LLM-ADVISORY","Bounded human-override ('guardrail/clipping') model, contrasted against full-deferral L2D","Runtime","No","N/A","Clipped/bounded algorithmic output","No","No","No","Yes","No","Yes","No","Business analytics (forecasting, pricing)","None (contrast)","Distant analogy","Low","Mechanism (numeric clipping of an algorithm's output) is not the same shape as ADS-Cascade's candidate-reranking-plus-human-review.","Minimal direct challenge; valuable as a 2026 literature map confirming L2D is the standard academic home for this problem class.","Abstract","10.1002/nav.70052"
"G2-09","Trustworthy and Practical AI for Healthcare: A Guided Deferral System with Large Language Models","Strong, Men, Noble","2025","AAAI 2025","GAP2-LLM-ADVISORY","LLM classifies medical reports directly, with guided deferral of uncertain cases to humans","Runtime","Yes (trained on historical diagnostic records)","LLM confidence on direct classification","Classify-or-defer decision, per case","No","Yes","Yes","Yes","No","Yes (central mechanism)","Learned (guided deferral policy)","Medical (report classification)","Part 2 (Tier-3, human-deferral half) -- strongest LLM-specific analog found","Strong conceptual overlap","High","Closest single paper combining LLM + classification + confidence-triggered human deferral -- but its LLM classifies directly from the report (blank-slate), rather than reranking a rules-layer's pre-fetched candidate shortlist, so the 'candidates-only' half of ADS-Cascade's constraint is absent here.","Strongest adversarial hit for the 'LLM + human deferral' half specifically; architecturally simpler than ADS-Cascade (no upstream retrieval-constraint layer).","Methods section","10.1609/aaai.v39i27.35063"
"G2-10","Learning to Defer in Congested Systems: The AI-Human Interplay","Lykouris, Weng","2024","arXiv preprint","GAP2-LLM-ADVISORY","AI-human content-moderation pipeline with confidence-gated admission to human review","Runtime","Yes (review outcomes feed back as training data)","AI classification/admission confidence","Auto-decide vs. admit-to-human-review, per item","No","Yes","Yes","Yes","No","Yes (admission thresholding)","Learned/tuned","Content moderation","Part 2 (Tier structure analog)","Strong conceptual overlap","Medium","Closely mirrors ADS-Cascade's tiered confidence-routing shape, but the AI is a direct risk classifier (not an LLM reranking candidates), and it explicitly permits high-confidence auto-decisions WITHOUT human review -- the opposite of ADS-Cascade's 100%-of-Tier-3-to-human invariant.","Strong structural analog for the cascade shape; weak analog for the specific never-auto-applied invariant -- worth citing as a contrast on that point.","Abstract; pipeline description","10.48550/arxiv.2402.12237"
"G2-12","Human-AI Collaboration via Conditional Delegation: A Case Study of Content Moderation","Lai, Carton, Bhatnagar, et al.","2022","CHI 2022","GAP2-LLM-ADVISORY","Human-authored rules define which AI output regions may act unsupervised vs. require review","Design-time (rule authoring) + runtime (delegation)","No","Human-defined trust regions of model output space","Auto-act vs. route-to-human, per output region","No","No","No","Yes","Yes (trust-region rules)","Yes (central mechanism)","Human-set (not empirically calibrated)","Content moderation","Part 2 (human-escalation framing)","Partial overlap","Medium","Frames 'which cases the AI may decide alone vs. must route to a human' as a first-class design variable, close to ADS-Cascade's per-item determinism gating -- but ADS-Cascade sends 100% of its LLM tier to human review rather than conditionally per trust region.","Relevant precedent for the general escalation-gating design philosophy, distinct on the specific always-100%-human-routed detail.","Methodology section","10.1145/3491102.3501999"
"G2-13","Liable, but Not in Control? Ensuring Meaningful Human Agency in Automated Decision-Making Systems","Ben Wagner","2019","Policy & Internet","GAP2-LLM-ADVISORY","Critiques token/'quasi-automation' human sign-off; proposes criteria for genuine human agency","N/A (legal/policy analysis)","No","N/A","Criteria distinguishing meaningful vs. cosmetic human final authority","No","No","No","No","No","Yes","No","Cross-sector (regulatory/legal)","Part 2 / human-feedback loop (framing tool)","Partial overlap","Low-Medium","Analogous framing tool for asking whether ADS-Cascade's human-review step is meaningful or rubber-stamping; not a technical description of an LLM-reranker system.","Useful for Phase C/E to preempt a 'is your human review meaningful?' reviewer question, not a competing technical claim.","Full paper","10.1002/poi3.198"
"G2-14","Automated decision-making in the EU Member States: the right to explanation and other 'suitable safeguards'","Gianclaudio Malgieri","2019","Computer Law & Security Review","GAP2-LLM-ADVISORY","Survey of GDPR Art. 22(3) human-intervention safeguards across EU member states","N/A (legal survey)","No","N/A","Statutory human-intervention rights","No","No","No","No","No","Yes","No (legal mandate)","Cross-sector, EU law","None (regulatory driver, not a technical match)","Partial overlap","Low","Regulatory driver/rationale for keeping a human in the loop, not a technical description of how an LLM would be architecturally constrained to comply.","Confirms a regulatory literature exists (as the gap-search brief hypothesized) but it does not describe ADS-Cascade's specific mechanism.","Full paper","10.1016/j.clsr.2019.05.002"
"G2-15","Automation Bias in Intelligent Time Critical Decision Support Systems","Mary L. Cummings","2004","Aviation/human-factors literature","GAP2-LLM-ADVISORY","Spectrum of automation levels from full automation to recommendation-only-with-human-final-say","N/A (analysis framework)","No","N/A","Automation-level spectrum; risk of automation bias at each level","No","No","No","No","No","Yes","No","Aviation, military command-and-control","Part 2 / human-feedback loop","Strong conceptual overlap","Medium","Already names and studies exactly 'the automation only makes recommendations and the operator has final say,' 20 years before ADS-Cascade -- confirms this is decades-old, well-studied human-factors territory, not new.","Directly weakens any claim that the general 'AI advisory-only' design principle is itself a contribution -- it is 2004-vintage human-factors doctrine.","Full paper (393 citations)","(no DOI independently resolved)"
"G2-16","Automation Bias and Assistive AI: Risk of Harm From AI-Driven Clinical Decision Support","Khera, Butte, et al.","2023","JAMA","GAP2-LLM-ADVISORY","Clinical decision support systems as explicitly advisory; risk that nominal human authority is eroded by over-reliance","N/A (perspective/review)","No","N/A","Advisory CDSS output; clinician reliance behavior","No","No","No","No","No","Yes","No","Clinical medicine","Part 2 / human-feedback loop","Strong conceptual overlap","Medium","Mainstream, heavily cited (160 citations) evidence that 'AI advises, clinician decides' is standard practice in a safety-conscious deployed-AI domain, with a large literature on whether nominal authority holds up in practice.","Same as G2-15 -- reinforces that AI-advisory-only is an established, well-documented design pattern, not a novel one.","Full paper","(no DOI independently resolved)"
